invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,revenue
C550650,22499,WOODEN UNION JACK BUNTING,-3,4/19/2011 16:39,5.95,18171,United Kingdom,-17.85
C551510,47566,PARTY BUNTING,-100,4/28/2011 19:43,4.15,16163,United Kingdom,-415
C575224,22385,JUMBO BAG SPACEBOY DESIGN,-100,11/9/2011 11:41,1.79,17511,United Kingdom,-179
C545740,POST,POSTAGE,-1,3/7/2011 11:47,8.65,18257,United Kingdom,-8.65
C571009,90160A,PURPLE BOUDICCA LARGE BRACELET,-7,10/13/2011 12:12,6.95,12612,Germany,-48.65
C558444,21314,SMALL GLASS HEART TRINKET POT,-5,6/29/2011 13:29,1.85,15311,United Kingdom,-9.25
C555361,71053,WHITE METAL LANTERN,-1,6/2/2011 14:12,3.75,13308,United Kingdom,-3.75
C553424,21238,RED RETROSPOT CUP,-1,5/17/2011 10:31,0.85,17811,United Kingdom,-0.85
C548356,22467,GUMBALL COAT RACK,-9,3/30/2011 15:12,2.55,12472,Germany,-22.95
C581178,23494,VINTAGE DOILY DELUXE SEWING KIT ,-1,12/7/2011 15:39,5.95,15525,United Kingdom,-5.95
C544057,22060,LARGE CAKE STAND HANGING HEARTS,-1,2/15/2011 12:55,9.95,13623,United Kingdom,-9.95
C547502,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,-1,3/23/2011 12:42,0.65,14513,United Kingdom,-0.65
C548972,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,-4,4/5/2011 11:42,3.75,15674,United Kingdom,-15
C551551,M,Manual,-1,5/3/2011 10:08,0.29,17841,United Kingdom,-0.29
C566012,23092,LARGE ANTIQUE WHITE PHOTO FRAME,-1,9/8/2011 12:15,6.65,17243,United Kingdom,-6.65
C552334,22925,BLUE GIANT GARDEN THERMOMETER,-1,5/9/2011 11:24,5.95,12853,United Kingdom,-5.95
C543706,22423,REGENCY CAKESTAND 3 TIER,-1,2/11/2011 11:44,12.75,15044,United Kingdom,-12.75
C571501,M,Manual,-1,10/17/2011 15:14,153.13,Guest,United Kingdom,-153.13
C558745,23182,TOILET SIGN OCCUPIED OR VACANT,-1,7/1/2011 17:02,0.83,14415,United Kingdom,-0.83
C547711,22692,DOORMAT WELCOME TO OUR HOME,-1,3/24/2011 19:31,7.95,13534,United Kingdom,-7.95
C554100,22858,EASTER TIN KEEPSAKE,-1,5/22/2011 13:27,1.65,15555,United Kingdom,-1.65
C537812,22423,REGENCY CAKESTAND 3 TIER,-10,12/8/2010 13:33,10.95,14299,United Kingdom,-109.5
C581468,22098,BOUDOIR SQUARE TISSUE BOX,-12,12/8/2011 19:26,0.39,13599,United Kingdom,-4.68
C544580,S,SAMPLES,-1,2/21/2011 14:25,7,Guest,United Kingdom,-7
C545739,M,Manual,-1,3/7/2011 11:46,45.57,12754,Japan,-45.57
C579886,23460,SWEETHEART WALL TIDY ,-2,11/30/2011 17:39,9.95,15676,United Kingdom,-19.9
C570867,47590B,PINK HAPPY BIRTHDAY BUNTING,-3,10/12/2011 16:17,5.45,12607,USA,-16.35
C544655,22061,LARGE CAKE STAND  HANGING STRAWBERY,-1,2/22/2011 12:57,8.5,13113,United Kingdom,-8.5
C570963,21531,RED RETROSPOT SUGAR JAM BOWL,-1,10/13/2011 11:49,2.55,13816,Germany,-2.55
C561586,23110,PARISIENNE KEY CABINET ,-2,7/28/2011 10:49,5.75,14243,United Kingdom,-11.5
565935,23064,Crushed,-8,9/8/2011 10:46,0,Guest,United Kingdom,0
554316,21195,Unknown,-1,5/23/2011 15:29,0,Guest,United Kingdom,0
541487,85118,Unknown,-35,1/18/2011 13:19,0,Guest,United Kingdom,0
C570958,23203,JUMBO BAG VINTAGE DOILY ,-2,10/13/2011 11:30,2.08,16873,United Kingdom,-4.16
C542426,20972,PINK CREAM FELT CRAFT TRINKET BOX ,-12,1/28/2011 9:32,1.25,14146,United Kingdom,-15
C567358,22699,ROSES REGENCY TEACUP AND SAUCER ,-1,9/19/2011 16:31,2.95,16428,United Kingdom,-2.95
C570867,23367,SET 12 COLOUR PENCILS SPACEBOY ,-16,10/12/2011 16:17,0.65,12607,USA,-10.4
